ردیف,دسته بندی,محصول,وزن,عیار,فی تهیه اجرت درصدی,اجرت درصدی فروش,فی تهیه اجرت مبلغی,اجرت مبلغی فروش,فی تهیه سنگ,فی فروش سنگ,رنگ,نوع کالا,سایز,کد قدیمی,تصویر
1,کار ساخته بازار,GD01012636 - 1m,1.64,750.0,1.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260504-460.jpg
2,کار ساخته بازار,GD01012633 - 1m,1.56,750.0,1.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260504-679.jpg
3,کار ساخته بازار,GD01015179 - شانل,3.43,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,nopicture.png
4,کار ساخته بازار,GD01015178 - وان یکاد,0.71,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,nopicture.png
5,کار ساخته بازار,GD01015177 - ژاپنی,1.12,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,nopicture.png
6,کار ساخته بازار,GD01015176 - تافته,2.21,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,nopicture.png
7,کار ساخته بازار,GD01015175 - لوکس,3.2,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,nopicture.png
8,کار ساخته بازار,GD01015174 - حلقه ای,2.21,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,nopicture.png
9,کار ساخته بازار,GD01015173,4.47,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
10,کار ساخته بازار,GD01015172,4.5,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
11,کار ساخته بازار,GD01015171,4.63,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
12,کار ساخته بازار,GD01015170,4.37,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
13,کار ساخته بازار,GD01015169,4.44,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
14,کار ساخته بازار,GD01015168,4.54,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
15,کار ساخته بازار,GD01015167,3.44,750.0,3.0,7.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,1.0,,nopicture.png
16,کار ساخته بازار,GD01015166,3.41,750.0,3.0,7.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,1.0,,nopicture.png
17,کار ساخته بازار,GD01015165,3.23,750.0,3.0,7.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,1.0,,nopicture.png
18,کار ساخته بازار,GD01015164,3.4,750.0,3.0,7.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,1.0,,nopicture.png
19,کار ساخته بازار,GD01015163 - حلقه ای,2.46,750.0,7.0,8.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,nopicture.png
20,کار ساخته بازار,GD01015162 - دایره,1.22,750.0,6.9,8.0,0.0,0.0,0.0,0.0,زرد,مدال,,,nopicture.png
21,کار ساخته بازار,GD01015161 - بیضی,1.09,750.0,6.9,8.0,0.0,0.0,0.0,0.0,زرد,مدال,,,nopicture.png
22,کار ساخته بازار,GD01015160,1.75,750.0,6.9,8.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,nopicture.png
23,کار ساخته بازار,GD01015159,1.68,750.0,6.9,8.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,nopicture.png
24,کار ساخته بازار,GD01015158,2.29,750.0,7.0,8.0,0.0,0.0,0.0,0.0,زرد,مدال,,,nopicture.png
25,کار ساخته بازار,GD01015157 - آینه ای,2.87,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
26,کار ساخته بازار,GD01015156 - آینه ای,2.76,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
27,کار ساخته بازار,GD01015155 - آینه ای,2.67,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,nopicture.png
28,کار ساخته بازار,GD01015154 - آینه ای,2.7,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260727-329.jpg
29,کار ساخته بازار,GD01015151,1.89,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260727-481.jpg
30,کار ساخته بازار,GD01015150,3.68,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260727-46.jpg
31,کار ساخته بازار,GD01015149,3.44,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260727-384.jpg
32,کار ساخته بازار,GD01015148,2.72,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260727-539.jpg
33,کار ساخته بازار,GD01015147 - باران,1.81,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260727-158.jpg
34,کار ساخته بازار,GD01015146,3.06,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260727-256.jpg
35,کار ساخته بازار,GD01015145 - باران,1.75,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260704-813.jpg
36,کار ساخته بازار,GD01014186 - تراش,2.55,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260725-900.jpg
37,کار ساخته بازار,GD01015144 - باران,1.34,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,دستبند,,,Img20260725-122.jpg
38,کار ساخته بازار,GD01015143 - ون یکاد,1.71,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260725-629.jpg
39,کار ساخته بازار,GD01015142 - لوکس,2.19,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260725-897.jpg
40,کار ساخته بازار,GD01015141 - قلب,1.13,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260725-329.jpg
41,کار ساخته بازار,GD01015139 - باران,1.21,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260725-192.jpg
42,کار ساخته بازار,GD01015138 - شانل,4.04,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260725-602.jpg
43,کار ساخته بازار,GD01015137 - پرسی,2.55,750.0,0.0,2.0,0.0,0.0,0.0,0.0,دو رنگ,گوشواره,,,Img20260727-949.jpg
44,کار ساخته بازار,GD01015136 - زنجیر,2.36,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260727-688.jpg
45,کار ساخته بازار,GD01015135 - زنجیر,1.46,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260727-429.jpg
46,کار ساخته بازار,GD01015134 - گیوا,5.72,750.0,0.0,2.0,0.0,0.0,0.0,0.0,دو رنگ,انگشتر,,,Img20260727-421.jpg
47,کار ساخته بازار,GD01015133,4.38,750.0,0.0,2.0,0.0,0.0,0.0,0.0,دو رنگ,گوشواره,,,Img20260727-148.jpg
48,کار ساخته بازار,GD01015124 - لوکس,3.91,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,nopicture.png
49,کار ساخته بازار,GD01015123 - گیوا,2.13,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260723-504.jpg
50,کار ساخته بازار,GD01015121,1.71,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-975.jpg
51,کار ساخته بازار,GD01015120,1.31,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-841.jpg
52,کار ساخته بازار,GD01015119,1.21,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-921.jpg
53,کار ساخته بازار,GD01015118,1.83,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-44.jpg
54,کار ساخته بازار,GD01015117,2.65,750.0,2.2,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-9.jpg
55,کار ساخته بازار,GD01015116,0.55,750.0,7.0,8.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260723-36.jpg
56,کار ساخته بازار,GD01015115,0.4,750.0,7.0,8.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260723-610.jpg
57,کار ساخته بازار,GD01015113,2.5,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,دستبند,,,Img20260723-28.jpg
58,کار ساخته بازار,GD01015112,2.16,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-327.jpg
59,کار ساخته بازار,GD01015111,1.92,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-906.jpg
60,کار ساخته بازار,GD01015110,1.83,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-356.jpg
61,کار ساخته بازار,GD01015107 - رینگی تراش,1.49,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260723-348.jpg
62,کار ساخته بازار,GD01015106 - رینگی تراش,1.58,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260723-431.jpg
63,کار ساخته بازار,GD01015105 - ارکیده,3.12,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260723-430.jpg
64,کار ساخته بازار,GD01015104 - ارکیده,2.83,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260723-413.jpg
65,کار ساخته بازار,GD01015103 - ارکیده,2.32,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260723-298.jpg
66,کار ساخته بازار,GD01015102 - تراش,1.78,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260723-405.jpg
67,کار ساخته بازار,GD01015101 - طنابی,2.97,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260723-133.jpg
68,کار ساخته بازار,GD01015100 - طنابی,10.26,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260723-732.jpg
69,کار ساخته بازار,GD01015099 - میثاق,4.68,750.0,1.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260723-142.jpg
70,کار ساخته بازار,GD01015098 - میثاق,4.78,750.0,1.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260723-553.jpg
71,کار ساخته بازار,GD01015097 - میثاق,5.16,750.0,1.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260723-397.jpg
72,کار ساخته بازار,GD01015096 - میثاق,5.16,750.0,1.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260723-515.jpg
73,کار ساخته بازار,GD01015095 - میثاق,5.86,750.0,1.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,4.0,,Img20260723-1727.jpg
74,کار ساخته بازار,GD01015094 - میثاق,5.77,750.0,1.8,7.0,0.0,0.0,0.0,0.0,زرد,النگو,4.0,,Img20260723-554.jpg
75,کار ساخته بازار,GD01015091 - نگاه,8.05,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,4.0,,Img20260723-337.jpg
76,کار ساخته بازار,GD01015090 - نگاه,7.22,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,3.0,,Img20260723-559.jpg
77,کار ساخته بازار,GD01015089 - نگاه,7.67,750.0,2.0,6.5,0.0,0.0,0.0,0.0,زرد,تک پوش,2.0,,Img20260723-86.jpg
78,کار ساخته بازار,GD01015088 - نگاه,6.81,750.0,2.0,6.5,0.0,0.0,0.0,0.0,زرد,تک پوش,1.0,,Img20260723-454.jpg
79,کار ساخته بازار,GD01015087 - شروین,4.74,750.0,2.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,1.0,,Img20260723-858.jpg
80,کار ساخته بازار,GD01015086 - شروین,5.12,750.0,2.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,2.0,,Img20260723-709.jpg
81,کار ساخته بازار,GD01015085 - شروین,6.61,750.0,2.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,3.0,,Img20260725-963.jpg
82,کار ساخته بازار,GD01015083 - لیزری,1.29,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260727-894.jpg
83,کار ساخته بازار,GD01015080 - دایان,2.89,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260725-61.jpg
84,کار ساخته بازار,GD01015079 - وان یکاد,0.84,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260725-675.jpg
85,کار ساخته بازار,GD01015078 - ورساچه,5.51,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260725-86.jpg
86,کار ساخته بازار,GD01015077 - جم,7.63,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,Img20260727-87.jpg
87,کار ساخته بازار,GD01015076 - دایان,4.0,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,nopicture.png
88,کار ساخته بازار,GD01015074 - نرگس,5.98,750.0,6.5,8.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,2.0,,nopicture.png
89,کار ساخته بازار,GD01015073 - نرگس,6.09,750.0,6.5,8.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,2.0,,Img20260723-682.jpg
90,کار ساخته بازار,GD01015072 - نرگس,6.06,750.0,6.5,8.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,2.0,,nopicture.png
91,کار ساخته بازار,GD01015071 - نرگس,5.91,750.0,6.5,8.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,2.0,,nopicture.png
92,کار ساخته بازار,GD01015070 - نرگس,6.06,750.0,6.5,8.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,2.0,,Img20260722-461.jpg
93,کار ساخته بازار,GD01015069,7.48,750.0,8.5,10.0,0.0,0.0,0.0,0.0,دو رنگ,النگو,2.0,,Img20260722-370.jpg
94,کار ساخته بازار,GD01015068 - زنجیر,2.03,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260722-323.jpg
95,کار ساخته بازار,GD01015066 - زنجیر,2.06,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260722-733.jpg
96,کار ساخته بازار,GD01015065 - شقایق,3.52,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260722-195.jpg
97,کار ساخته بازار,GD01015064 - پروانه,0.77,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260722-382.jpg
98,کار ساخته بازار,GD01015063 - آبان,1.29,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260722-470.jpg
99,کار ساخته بازار,GD01015062 - آذر,2.45,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260722-963.jpg
100,کار ساخته بازار,GD01015059 - لوکس,1.82,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260722-691.jpg
101,کار ساخته بازار,GD01015058 - لوکس,1.55,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260722-420.jpg
102,کار ساخته بازار,GD01015057 - باران,4.56,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,Img20260722-574.jpg
103,کار ساخته بازار,GD01015056 - ونکیلیف,2.97,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,دستبند,,,Img20260722-232.jpg
104,کار ساخته بازار,GD01015055 - فیوژن,66.34,750.0,5.0,7.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,Img20260722-819.jpg
105,کار ساخته بازار,GD01015054 - آینه ای,6.4,750.0,5.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260722-76.jpg
106,کار ساخته بازار,GD01015053 - فیوؤن,8.19,750.0,5.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260722-527.jpg
107,کار ساخته بازار,GD01015052 - لیزری,3.92,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,3.0,,Img20260722-229.jpg
108,کار ساخته بازار,GD01015051 - لیزری,3.55,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,1.0,,Img20260722-817.jpg
109,کار ساخته بازار,GD01015050 - لیزری,3.62,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,2.0,,Img20260722-222.jpg
110,کار ساخته بازار,GD01015049 - لیزری,3.93,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,3.0,,Img20260722-509.jpg
111,کار ساخته بازار,GD01015048 - لیزری,3.56,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,2.0,,Img20260722-604.jpg
112,کار ساخته بازار,GD01015047 - لیزری,3.46,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,1.0,,nopicture.png
113,کار ساخته بازار,GD01015046 - هندسی,1.33,750.0,5.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260722-121.jpg
114,کار ساخته بازار,GD01015045 - هندسی,1.53,750.0,5.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260722-73.jpg
115,کار ساخته بازار,GD01015044 - هندسی,1.43,750.0,5.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260722-87.jpg
116,کار ساخته بازار,GD01015043 - الارا,2.71,750.0,6.0,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260721-395.jpg
117,کار ساخته بازار,GD01015042 - آینه ای,2.92,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260721-865.jpg
118,کار ساخته بازار,GD01015041 - آینه ای,2.98,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260721-555.jpg
119,کار ساخته بازار,GD01015040 - آینه ای,2.83,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260721-592.jpg
120,کار ساخته بازار,GD01015039 - آینه ای,2.97,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,3.0,,Img20260721-470.jpg
121,کار ساخته بازار,GD01015038 - آینه ای,2.77,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,1.0,,Img20260721-146.jpg
122,کار ساخته بازار,GD01015037 - آینه ای,3.08,750.0,2.0,7.0,0.0,0.0,0.0,0.0,زرد,النگو,3.0,,Img20260727-646.jpg
123,کار ساخته بازار,GD01015034 - شانل,2.08,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260727-748.jpg
124,کار ساخته بازار,GD01015033 - شانل,2.46,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260727-465.jpg
125,کار ساخته بازار,GD01015032 - اوا,4.0,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,nopicture.png
126,کار ساخته بازار,GD01015031 - لیزری,1.93,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,nopicture.png
127,کار ساخته بازار,GD01015030 - ونکیلیف,2.43,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260727-560.jpg
128,کار ساخته بازار,GD01015029 - لوکس,3.22,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260727-732.jpg
129,کار ساخته بازار,GD01015027,1.47,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260720-641.jpg
130,کار ساخته بازار,GD01015022,1.72,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260720-983.jpg
131,کار ساخته بازار,GD01015017,3.64,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260720-15.jpg
132,کار ساخته بازار,GD01015016,4.76,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,nopicture.png
133,کار ساخته بازار,GD01015014 - وان یکاد,1.39,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260720-804.jpg
134,کار ساخته بازار,GD01015011,2.75,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260720-885.jpg
135,کار ساخته بازار,GD01015004,3.27,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260720-920.jpg
136,کار ساخته بازار,GD01015003,1.25,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260720-245.jpg
137,کار ساخته بازار,GD01015000,0.84,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260720-708.jpg
138,کار ساخته بازار,GD01014999,1.71,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260720-43.jpg
139,کار ساخته بازار,GD01014998 - لوکس,1.24,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260716-146.jpg
140,کار ساخته بازار,GD01014989 - پرسی,1.25,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260716-372.jpg
141,کار ساخته بازار,GD01014987 - حلقه ای,0.47,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260716-450.jpg
142,کار ساخته بازار,GD01014985 - دایان,2.0,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260716-110.jpg
143,کار ساخته بازار,GD01014983 - دلفین,0.57,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260716-166.jpg
144,کار ساخته بازار,GD01014981 - وان یکاد,0.91,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260716-413.jpg
145,کار ساخته بازار,GD01014980,2.18,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260716-859.jpg
146,کار ساخته بازار,GD01014979 - میرو,1.94,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260716-955.jpg
147,کار ساخته بازار,GD01014976 - لوکس,2.87,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260716-500.jpg
148,کار ساخته بازار,GD01014975 - لوکس,2.48,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260716-579.jpg
149,کار ساخته بازار,GD01014974 - لوکس,2.11,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260716-487.jpg
150,کار ساخته بازار,GD01014973 - لوکس,2.33,750.0,0.0,2.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,nopicture.png
151,کار ساخته بازار,GD01014968 - شیر و خورشید,2.32,750.0,12.5,12.5,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260716-411.jpg
152,کار ساخته بازار,GD01014965 - الکترو پروفیل,1.3,750.0,8.0,9.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260716-537.jpg
153,کار ساخته بازار,GD01014964 - لویی ویتون,4.75,750.0,8.5,10.0,0.0,0.0,0.0,0.0,زرد,دستبند,,,Img20260716-555.jpg
154,کار ساخته بازار,GD01014962 - آفتاب گردون,19.03,750.0,4.9,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,3.0,,Img20260716-881.jpg
155,کار ساخته بازار,GD01014961 - ٍآفتاب گردون,20.75,750.0,4.9,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,5.0,,Img20260716-170.jpg
156,کار ساخته بازار,GD01014960 - آفتاب گردون,18.37,750.0,4.9,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,2.0,,Img20260716-481.jpg
157,کار ساخته بازار,GD01014959 - 4060,3.93,750.0,4.0,7.0,0.0,0.0,0.0,0.0,سفید,النگو,1.0,,Img20260716-940.jpg
158,کار ساخته بازار,GD01014958 - 4060,4.29,750.0,4.0,7.0,0.0,0.0,0.0,0.0,سفید,النگو,1.0,,Img20260716-692.jpg
159,کار ساخته بازار,GD01014957 - 4060,4.2,750.0,4.0,7.0,0.0,0.0,0.0,0.0,سفید,النگو,1.0,,Img20260716-428.jpg
160,کار ساخته بازار,GD01014955 - 4060,4.16,750.0,4.0,7.0,0.0,0.0,0.0,0.0,سفید,النگو,1.0,,Img20260716-974.jpg
161,کار ساخته بازار,GD01014954 - 4060,4.68,750.0,4.0,7.0,0.0,0.0,0.0,0.0,سفید,النگو,1.0,,Img20260716-932.jpg
162,کار ساخته بازار,GD01014953 - 4060,4.26,750.0,4.0,7.0,0.0,0.0,0.0,0.0,سفید,النگو,1.0,,Img20260716-449.jpg
163,کار ساخته بازار,GD01014952 - امین,6.15,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,3.0,,Img20260716-769.jpg
164,کار ساخته بازار,GD01014950 - امین,5.32,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,1.0,,Img20260715-1608.jpg
165,کار ساخته بازار,GD01014946 - الکترو پروفیل,0.62,750.0,5.2,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260715-613.jpg
166,کار ساخته بازار,GD01014944 - 100,3.08,750.0,4.5,7.0,0.0,0.0,0.0,0.0,سفید,النگو,1.0,,Img20260715-940.jpg
167,کار ساخته بازار,GD01014942 - 100,3.22,750.0,4.5,7.0,0.0,0.0,0.0,0.0,سفید,النگو,2.0,,Img20260715-312.jpg
168,کار ساخته بازار,GD01014941 - 100,3.37,750.0,4.5,7.0,0.0,0.0,0.0,0.0,سفید,النگو,2.0,,Img20260715-744.jpg
